experiment[ds-cat_enc-dl_arch];mode;validation;accuracy;precision;recall;f1-score;auc-roc;auc-prc;training-time;time-stamp
bpi2012_w_converted_sample-hash-0;fold0;cross-validation;0.375;0.3666666666666667;0.375;0.3650793650793651;0.375;0.45;1.783506;2019-10-19T17:07:26.085300+02:00
bpi2012_w_converted_sample-hash-0;fold1;cross-validation;0.5;0.25;0.5;0.3333333333333333;0.5;0.5;2.391392;2019-10-19T17:07:31.199194+02:00
bpi2012_w_converted_sample-hash-0;fold2;cross-validation;0.5;0.25;0.5;0.3333333333333333;0.5;0.5;3.031054;2019-10-19T17:07:37.544835+02:00
bpi2012_w_converted_sample-hash-0;avg;cross-validation;0.4583333333333333;0.2888888888888889;0.4583333333333333;0.3439153439153439;0.4583333333333333;0.48333333333333334;2.401984;2019-10-19T17:07:37.545834+02:00
